#{"t_start": 1656132167.2722251, "env_id": "LunarLander-v2"}
r,l,t
273.62265,129,2.414999
285.282116,169,5.799154
297.560129,144,8.199338
297.51856,172,11.066604
257.93806,146,13.50039
314.427011,166,16.267343
277.443297,166,19.034936
316.379865,157,21.650976
262.443673,164,24.385201
270.287806,135,26.635604
276.699577,179,29.618969
288.340219,130,31.786076
289.645101,188,34.920061
264.607216,158,37.553694
302.726311,154,40.120616
308.292046,193,43.337586
283.010281,164,46.07157
311.155311,172,48.93824
327.162513,195,52.189602
299.256948,163,54.906386
